Equipe;Nom;Poste;Type poste;Date de naissance;Taille (en cm);Poids (en kg);ID_equipe;Equipe;Compo
Castres;Wayan DE BENEDITTIS;Pilier;Avant;10/03/1999;185;107;5;;FALSE
Castres;Wilfrid HOUNKPATIN;Pilier;Avant;29/07/1991;192;132;5;;FALSE
Castres;Jody JENNEKER;Talonneur;Avant;10/04/1984;185;106;5;;FALSE
Castres;Kévin FIRMIN;Talonneur;Avant;20/04/1992;183;105;5;;FALSE
Castres;Marc-Antoine RALLIER;Talonneur;Avant;02/12/1988;182;107;5;;FALSE
Castres;Paul SAUZARET;Talonneur;Avant;04/03/1997;184;107;5;;FALSE
Castres;Christophe SAMSON;2ème ligne;2ème ligne;01/03/1984;198;107;5;;FALSE
Castres;Hans NKINSI;2ème ligne;2ème ligne;21/09/1992;195;115;5;;FALSE
Castres;Loïc JACQUET;2ème ligne;2ème ligne;31/03/1985;198;117;5;;FALSE
Castres;Rodrigo CAPO ORTEGA;2ème ligne;2ème ligne;08/12/1980;195;110;5;;FALSE
Castres;Victor MOREAUX;2ème ligne;2ème ligne;19/09/1993;200;123;5;;FALSE
Castres;Alex TULOU;3ème ligne;3ème ligne;21/03/1987;192;114;5;;FALSE
Castres;Anthony JELONCH;3ème ligne;3ème ligne;28/07/1996;193;105;5;;FALSE
Castres;Baptiste DELAPORTE;3ème ligne;3ème ligne;27/03/1997;190;112;5;;FALSE
Castres;Camille GÉRONDEAU;3ème ligne;3ème ligne;12/03/1988;194;113;5;;FALSE
Castres;Dorian CLERC;3ème ligne;3ème ligne;07/07/1998;194;110;5;;FALSE
Castres;Kévin GIMENO;3ème ligne;3ème ligne;11/09/1991;195;106;5;;FALSE
Castres;Maama VAIPULU;3ème ligne;3ème ligne;21/07/1989;190;112;5;;FALSE
Castres;Mathieu BABILLOT;3ème ligne;3ème ligne;09/09/1993;190;111;5;;FALSE
Castres;Ludovic RADOSAVLJEVIC;Mêlée;Demi;17/08/1989;180;95;5;;FALSE
Castres;Rory KOCKOTT;Mêlée;Demi;25/06/1986;180;92;5;;FALSE
Castres;Benjamin URDAPILLETA;Ouverture;Demi;11/03/1986;178;86;5;;FALSE
Castres;Thomas FORTUNEL;Ouverture;Demi;07/06/1995;177;76;5;;FALSE
Castres;Florian VIALELLE;Centre;Trois-Quarts;05/10/1993;185;88;5;;FALSE
Castres;Robert EBERSOHN;Centre;Trois-Quarts;23/02/1989;180;89;5;;FALSE
Castres;Thomas COMBEZOU;Centre;Trois-Quarts;26/01/1987;184;94;5;;FALSE
